x     rho     p     u
0.00715 1 1 8.35797e-17
0.00716 1 1 8.35797e-17
0.00717 1 1 8.35797e-17
0.00718 1 1 8.35797e-17
0.00719 1 1 8.35797e-17
0.0072 1 1 8.35796e-17
0.00721 1 1 8.35796e-17
0.00722 1 1 8.35796e-17
0.00723 1 1 8.35796e-17
0.00724 1 1 8.35796e-17
0.00725 1 1 8.35796e-17
0.00726 1 1 8.35796e-17
0.00727 1 1 8.35796e-17
0.00728 1 1 8.35795e-17
0.00729 1 1 8.35795e-17
0.0073 1 1 8.35795e-17
0.00731 1 1 8.35795e-17
0.00732 1 1 8.35795e-17
0.00733 1 1 8.35795e-17
0.00734 1 1 8.35795e-17
0.00735 1 1 8.35795e-17
0.00736 1 1 8.35795e-17
0.00737 1 1 8.35795e-17
0.00738 1 1 8.35794e-17
0.00739 1 1 8.35794e-17
0.0074 1 1 8.35794e-17
0.00741 1 1 8.35794e-17
0.00742 1 1 8.35794e-17
0.00743 1 1 8.35794e-17
0.00744 1 1 8.35794e-17
0.00745 1 1 8.35794e-17
0.00746 1 1 8.35794e-17
0.00747 1 1 8.35794e-17
0.00748 1 1 8.35793e-17
0.00749 1 1 8.35793e-17
0.0075 1 1 8.35793e-17
0.00751 1 1 8.35793e-17
0.00752 1 1 8.35793e-17
0.00753 1 1 8.35793e-17
0.00754 1 1 8.35793e-17
0.00755 1 1 8.35793e-17
0.00756 1 1 8.35793e-17
0.00757 1 1 8.35793e-17
0.00758 1 1 8.35793e-17
0.00759 1 1 8.35793e-17
0.0076 1 1 8.35793e-17
0.00761 1 1 8.35793e-17
0.00762 1 1 8.35793e-17
0.00763 1 1 8.35793e-17
0.00764 1 1 8.35792e-17
0.00765 1 1 8.35792e-17
0.00766 1 1 8.35792e-17
0.00767 1 1 8.35792e-17
0.00768 1 1 8.35792e-17
0.00769 1 1 8.35792e-17
0.0077 1 1 8.35792e-17
0.00771 1 1 8.35792e-17
0.00772 1 1 8.35792e-17
0.00773 1 1 8.35792e-17
0.00774 1 1 8.35792e-17
0.00775 1 1 8.35792e-17
0.00776 1 1 8.35792e-17
0.00777 1 1 8.35792e-17
0.00778 1 1 8.35792e-17
0.00779 1 1 8.35792e-17
0.0078 1 1 8.35792e-17
0.00781 1 1 8.35792e-17
0.00782 1 1 8.35792e-17
0.00783 1 1 8.35792e-17
0.00784 1 1 8.35792e-17
0.00785 1 1 8.35792e-17
0.00786 1 1 8.35792e-17
0.00787 1 1 8.35792e-17
0.00788 1 1 8.35792e-17
0.00789 1 1 8.35792e-17
0.0079 1 1 8.35792e-17
0.00791 1 1 8.35792e-17
0.00792 1 1 8.35792e-17
0.00793 1 1 8.35792e-17
0.00794 1 1 8.35792e-17
0.00795 1 1 8.35792e-17
0.00796 1 1 8.35792e-17
0.00797 1 1 8.35792e-17
0.00798 1 1 8.35793e-17
0.00799 1 1 8.35793e-17
0.008 1 1 8.35793e-17
0.00801 1 1 8.35793e-17
0.00802 1 1 8.35793e-17
0.00803 1 1 8.35793e-17
0.00804 1 1 8.35793e-17
0.00805 1 1 8.35793e-17
0.00806 1 1 8.35793e-17
0.00807 1 1 8.35793e-17
0.00808 1 1 8.35793e-17
0.00809 1 1 8.35793e-17
0.0081 1 1 8.35793e-17
0.00811 1 1 8.35793e-17
0.00812 1 1 8.35793e-17
0.00813 1 1 8.35793e-17
0.00814 1 1 8.35794e-17
0.00815 1 1 8.35794e-17
0.00816 1 1 8.35794e-17
0.00817 1 1 8.35794e-17
0.00818 1 1 8.35794e-17
0.00819 1 1 8.35794e-17
0.0082 1 1 8.35794e-17
0.00821 1 1 8.35794e-17
